,Word,CS_v1,CS_v2,CS_v3,PW_v1,PW_v2,PW_v3,train_test
30,begib,bgggb,btgbb,bmgpb,begub,bagib,bigab,Train
31,rede,rjdc,rjdr,rlds,radu,ridu,ruda,Train
32,theo,thhd,thrk,thdc,thei,thuu,thui,Train
33,alpha,hlphr,xlphj,ylphq,olphi,ilpho,ilphi,Train
34,sam,shm,stm,ssm,sim,sim,som,Train
35,zahm,zmhm,zghm,zthm,zuhm,zohm,zuhm,Train
36,hain,hbsn,hgln,hwdn,heen,hian,heen,Train
37,duzt,dqzt,dhzt,dszt,dazt,dozt,dizt,Train
38,stab,stcb,stjb,stgb,stib,stub,stib,Train
39,brett,brptt,brztt,brvtt,bratt,britt,brott,Train
40,dose,dxsn,dpsj,dcsp,daso,diso,desi,Test
41,satin,swtyn,sbtbn,sntrn,setun,satun,sutin,Train
42,bette,bfttm,bgttw,bzttk,butto,betta,batti,Train
43,sekte,syktk,ssktc,snktm,sikta,suktu,sakto,Train
44,brest,brtst,brfst,brvst,brist,brost,brost,Train
45,aeste,mtstr,hpstx,wpstd,ousta,aasti,auste,Train
46,bytes,bytbs,bytns,bytks,bytas,bytos,bytos,Train
47,dirne,ddrnb,dyrny,dprny,darno,durni,durne,Train
48,birne,bhrny,bdrng,blrnf,burnu,birnu,berne,Train
49,carlo,cprly,chrls,clrlb,corli,cerli,carlu,Train
50,diele,djqlf,dxnlj,dpyln,diula,diila,duala,Train
51,sahen,srhtn,snhnn,svhdn,suhen,sohun,sihin,Train
52,klubs,klxbs,klcbs,klbbs,klebs,klibs,klabs,Train
53,ruhm,rphm,rkhm,rrhm,rehm,rohm,rohm,Train
54,port,pgrt,ptrt,plrt,pert,pert,pirt,Train
55,cafés,ckfés,ccfés,cmfés,cifés,cufés,cofés,Train
56,banne,blnnm,bcnnm,bnnns,binne,bunna,binna,Test
57,pflug,pflgg,pflqg,pflrg,pflog,pflog,pfleg,Train
58,juda,jrds,jsdy,jrdm,jadu,jedo,jedi,Train
59,ins,mns,jns,sns,ons,ons,ons,Train
60,drauf,drthf,drwpf,drfsf,droof,driif,drouf,Test
61,narbe,nbrbv,nkrbj,nsrbx,norbi,norba,nirbi,Train
62,ding,dbng,dwng,dzng,deng,dong,dong,Train
63,mobil,mlbhl,mtbnl,mgbcl,mabal,mabel,mibil,Train
64,doras,dqrfs,dgrcs,dcrrs,deris,doros,dures,Train
65,sann,snnn,sdnn,sdnn,sonn,sonn,sonn,Train
66,oelig,vjlbg,zfldg,szlbg,uoleg,uolug,ealog,Test
67,weint,wslnt,wtznt,wbmnt,weent,weont,woant,Test
68,nixe,nqxt,nqxm,ngxb,nuxo,nuxu,nixu,Train
69,messe,mlssx,mqssn,msssk,masso,massi,massa,Train
70,remis,rgmzs,rgmrs,rgmzs,remes,romes,rimus,Train
71,hinke,hcnks,hfnkz,hdnkc,hinko,hinko,hinko,Train
72,regal,rqghl,rdgwl,rpggl,rugol,rigil,rugal,Test
73,hexer,hrxhr,hwxwr,hfxdr,hoxer,hoxir,haxur,Train
74,traum,trrtm,trpgm,trbwm,traom,triom,treum,Test
75,josef,jrshf,jvsnf,jksrf,jesef,jesof,josif,Train
76,bast,bnst,bqst,bzst,bost,bost,bost,Train
77,bahne,bjhnj,bfhnn,bjhnr,bohni,bahno,behnu,Train
78,heckt,hfckt,hpckt,hkckt,hickt,huckt,hickt,Train
79,petze,pntzt,pytzx,pctzf,putzi,potzo,potza,Test
80,silbe,sclbj,shlbf,sklbm,silba,salbo,sulbe,Train
81,haken,hzkzn,htkkn,hmkpn,hekon,hikin,hoken,Train
82,kurt,kprt,khrt,ktrt,kert,kert,kort,Test
83,anita,wnjtk,jnytj,hnptv,enetu,inota,unate,Train
84,muts,mzts,mdts,mtts,mits,mots,mits,Train
85,wirr,wtrr,wnrr,wyrr,warr,warr,wurr,Train
86,menue,mynvs,mxnzb,mdnps,minuu,munue,monea,Train
87,habet,hrbqt,hvbyt,hgbkt,hubut,hobit,hebat,Test
88,togos,tvgrs,tngcs,tggvs,tagis,tugus,tigos,Train
89,fuhrt,fyhrt,fdhrt,fwhrt,fehrt,fehrt,fihrt,Train
90,seift,sdxft,skpft,sjqft,suuft,seoft,suuft,Train
91,teil,twpl,tgzl,tkyl,taal,tuil,toal,Train
92,wahre,wjhrr,wmhrl,wxhrb,wuhru,wihre,wuhri,Train
93,neros,nnrgs,nqrrs,nqrqs,naris,naros,narus,Test
94,wann,whnn,wmnn,wwnn,winn,wunn,winn,Train
95,erben,wrbhn,vrbwn,mrbpn,orbon,irbin,arbon,Test
96,sao,sch,sry,swg,saa,sea,sui,Train
97,marke,myrkh,mgrkf,mfrkn,mirki,mirka,morku,Train
98,toter,tdtqr,tztpr,tptdr,totor,totir,tuter,Train
99,holst,hnlst,hqlst,hslst,hilst,helst,hilst,Train
100,potis,pptzs,pstss,pztjs,putis,potes,petos,Train
101,wegs,wfgs,wdgs,wggs,wags,wugs,wogs,Train
102,debil,dlbsl,dkbml,dzbnl,dibel,dubil,dobal,Train
103,kreta,krmtz,krfth,krjtg,krete,krito,kreto,Train
104,juni,jsnm,jznt,jpnc,jine,jono,jini,Test
105,salve,sflvc,stlvm,sclvv,silvu,sulvi,salvo,Train
106,bunde,bbndq,bdndf,bvndk,bindo,bendo,bendo,Train
107,wog,wtg,wgg,wpg,wag,wig,wig,Train
108,klipp,klrpp,klkpp,kljpp,klopp,klopp,klupp,Train
109,sturz,stprz,stlrz,stkrz,storz,storz,storz,Train
110,sehnt,skhnt,sthnt,smhnt,sihnt,sihnt,sohnt,Train
111,jobbt,jnbbt,jybbt,jdbbt,jubbt,jebbt,jibbt,Train
112,rauen,rysnn,rjzfn,rtjbn,ruuon,reiun,riaen,Test
113,glanz,gljnz,glrnz,glhnz,glonz,glinz,glinz,Test
114,fange,fqngq,fbngd,fdngm,fonga,fengo,fonga,Train
115,toent,twdnt,tbznt,tncnt,teent,tuant,teant,Train
116,schah,schwh,schkh,schwh,schoh,scheh,schoh,Train
117,nur,ngr,nqr,nbr,nar,ner,nir,Train
118,steh,stmh,stph,sthh,stuh,stoh,stah,Train
119,tales,tnlzs,tqlvs,tylts,talus,talos,tulos,Train
120,lord,lvrd,lwrd,lgrd,lurd,lerd,lerd,Train
121,bieg,bbgg,bnxg,byhg,baog,biug,buog,Test
122,brie,brwc,bryg,brkv,brui,brai,bree,Train
123,duos,dvfs,dzbs,dxks,duas,daus,diis,Train
124,biber,bfbfr,bpbfr,bcbgr,bebir,bubur,bebir,Train
125,ebene,xbnnf,fbsnc,rbtnz,ibine,ubona,ubuna,Train
126,kuren,kcrnn,kprgn,kjrnn,korun,koron,koren,Train
127,skat,sklt,skzt,skqt,skit,skit,skot,Train
128,sind,synd,slnd,shnd,sond,send,sund,Train
129,ulme,klmb,tlmn,ylmn,ulmi,ulma,elma,Test
130,waage,wvpgn,wxkgg,wghgp,wiuge,waugo,wauga,Train
131,esc,dsc,tsc,jsc,isc,usc,usc,Test
132,vogel,vcgwl,vkgml,vqgkl,vogil,vegol,vugal,Test
133,kette,kjttj,kltty,kcttm,kuttu,kuttu,kutti,Train
134,nato,nnts,nbts,nqtc,natu,netu,nate,Train
135,topp,tmpp,tfpp,tkpp,tupp,tepp,tupp,Train
136,speit,spprt,spdlt,spgzt,spaat,spaut,spaat,Train
137,flohs,flxhs,flwhs,flmhs,flehs,flehs,flahs,Train
138,uebel,tnbpl,tbbml,vzbjl,oabal,iibol,aebol,Train
139,bot,bgt,bzt,bht,bet,but,but,Train
140,lepra,lqprf,lbprc,lfprn,lepri,lopri,lapro,Train
141,klau,klgt,klkj,klwr,kloi,kluu,klai,Test
142,passe,pmssy,ptssb,pdssg,pusse,passo,passa,Test
143,reize,rxyzj,rkmzh,rblzy,reezo,reizi,rioza,Train
144,doest,dmnst,djhst,dmpst,diest,doust,diast,Train
145,amt,ymt,tmt,lmt,omt,emt,imt,Train
146,wert,wjrt,wdrt,wnrt,wurt,wurt,wurt,Train
147,essay,kssmy,sssmy,ysscy,ossay,assoy,assoy,Train
148,ducke,dfckq,dmckk,dlckm,dacki,dacku,dacke,Train
149,hoch,hpch,hwch,hrch,huch,huch,huch,Test
150,pein,pjhn,pcwn,pbcn,poon,poen,peon,Train
151,okay,dkwy,qkdy,lkty,akay,ekuy,okiy,Train
152,mixt,mzxt,mjxt,mwxt,maxt,muxt,maxt,Train
153,seife,sqbfl,slsfs,sqdfd,siufo,suufo,suafa,Train
154,erlag,mrlkg,hrlkg,grlbg,arlog,erlog,irlag,Train
155,sogs,stgs,slgs,stgs,sugs,sags,sigs,Train
156,klaer,klzpr,klqqr,klgkr,kluar,kliur,kloar,Train
157,terme,tsrmd,tqrmf,txrmm,tarma,tirma,tarma,Train
158,arms,qrms,srms,prms,irms,irms,erms,Test
159,linde,llnds,lzndd,lxndz,lendo,lundu,londo,Test
160,land,lmnd,lqnd,ljnd,lond,lund,lund,Train
161,sechs,sgchs,sjchs,sdchs,sichs,sachs,sochs,Train
162,ruf,rkf,rrf,rhf,raf,rof,raf,Train
163,akne,gknq,xknr,dknr,eknu,okno,okni,Train
164,scher,schrr,schmr,schjr,schor,schir,schor,Test
165,unruh,mnrjh,fnrph,snrrh,anroh,inrih,onreh,Train
166,golda,gzldk,gkldm,gglds,gildo,goldu,gelda,Train
167,laues,lhscs,lxfgs,lvpds,looas,loaas,laies,Train
168,schau,schbm,schly,schmc,schao,schua,schao,Test
169,treu,trfy,trtp,trdj,trii,trao,trea,Train
170,rains,rllns,rdgns,rsbns,raens,rians,raans,Train
171,einig,vmncg,jynsg,ljntg,oinog,aonag,uanug,Train
172,seid,skfd,svwd,srtd,sied,suud,suod,Test
173,saal,scdl,sysl,syfl,siul,suil,sael,Train
174,motte,mhttj,myttg,mvttz,mette,mutta,mottu,Train
175,gaben,gqbln,gtbbn,gjbgn,gobon,gebin,gubon,Train
176,aura,wcrc,cgrj,gwrh,uure,iiri,oero,Train
177,lies,lgjs,lcgs,lwcs,lous,luis,lais,Train
178,naeht,njkht,nmcht,nmyht,naoht,noaht,nuiht,Test
179,reue,rzcy,rvwz,rgnd,roii,roie,reuo,Test
180,kerze,kqrzb,kmrzn,kfrzz,kurzo,karze,karze,Train
181,stroh,strlh,strlh,strzh,strih,strah,struh,Train
182,top,tkp,tvp,tzp,tep,tup,tip,Train
183,gier,gctr,gxfr,gzcr,giur,guer,goer,Train
184,kauen,klvdn,kcksn,kjrhn,kuoon,kiein,koeon,Train
185,pluto,plwtq,plftf,plntc,platu,plate,pleto,Train
186,eigne,cggnj,pcgnw,bkgnn,aegna,oagnu,uagnu,Train
187,jaeh,jkvh,jcfh,jkhh,juih,jooh,jauh,Train
188,taube,tmvbs,tlybx,trxbb,tuobu,tiabo,toebi,Train
189,rang,rqng,rvng,rgng,rung,rong,rong,Test
190,jesus,jgsms,jgsws,jnsss,juses,jusis,jasas,Train
191,salbe,sflbg,snlbg,shlbt,solbi,solbi,sulbi,Train
192,bub,btb,byb,brb,bab,beb,bab,Train
193,inne,ynnn,tnny,nnnw,enne,onni,unne,Train
194,krise,krvss,krzsg,krmsy,krosu,krosi,krusi,Train
195,teams,tftms,tjjms,tvxms,toems,tuems,teems,Train
196,kein,kybn,kkvn,kyxn,kaen,koun,kion,Train
197,votum,vjthm,vptzm,vwthm,vetum,votem,vatim,Train
198,leute,ldbtz,lpqtn,lhptt,looti,luata,leoto,Train
199,hetzt,hbtzt,hqtzt,hwtzt,hutzt,hutzt,hatzt,Train
200,chefs,chyfs,chnfs,chyfs,chafs,chufs,chafs,Train
201,zaum,zwsm,zhpm,zzsm,zeim,zoim,zeim,Train
202,yeti,yrtl,yxtv,yhtf,yota,yota,yotu,Train
203,trott,trstt,trntt,trhtt,trett,trutt,trutt,Test
204,beins,bjnns,bbtns,blqns,bians,buens,buins,Train
205,talk,ttlk,tdlk,twlk,telk,telk,telk,Train
206,figur,ffgzr,fhgyr,fngqr,fugir,fagir,foger,Train
207,sagst,spgst,shgst,sygst,sugst,segst,sogst,Test
208,asst,xsst,vsst,zsst,usst,usst,usst,Train
209,loren,lvrrn,lgrnn,lmrfn,loron,lerin,laron,Train
210,vikar,vlkkr,vhklr,vdkcr,vukir,vekar,vukir,Train
211,legst,lbgst,ltgst,lcgst,logst,ligst,ligst,Train
212,annas,gnnls,gnnms,xnnps,unnes,innus,ennas,Train
213,trend,trdnd,trynd,trhnd,trond,trind,trand,Train
214,peilt,pwblt,pkhlt,plllt,pealt,poult,pielt,Train
215,grube,grwbc,grwbx,grbbb,grebu,grabi,grebo,Train
216,weibe,wyxbl,wppbq,whsbz,weaba,weebi,waibu,Train
217,ivan,dvmn,jvsn,rvgn,ivun,avon,iven,Train
218,hebe,hsbc,hzby,hzbx,hebo,hubo,hobo,Train
219,trios,trkgs,trdss,trhts,trous,truos,troes,Train
220,epos,cpjs,mpxs,gpms,ipes,ipas,epas,Train
221,gruft,grtft,grsft,grkft,graft,graft,groft,Test
222,trage,trjgg,trhgq,trngg,troge,tragi,trago,Train
223,aug,nxg,gqg,pdg,ueg,eeg,iig,Train
224,regte,rmgtf,rhgtw,rwgtn,rogta,ragta,rogti,Train
225,krume,krcmt,krmmq,krhmh,krome,krime,krumu,Train
226,dummy,dhmmy,dsmmy,dkmmy,dammy,dommy,dommy,Train
227,draht,drjht,drmht,drzht,druht,driht,druht,Train
228,berg,bkrg,bdrg,bkrg,birg,birg,birg,Test
229,atems,ntvms,ptlms,ytxms,etems,utems,utoms,Train
230,teer,tnsr,tphr,tqyr,tear,toer,teor,Test
231,hotel,hvtxl,hztjl,hztfl,hutil,hitil,hotil,Train
232,riad,rhkd,rbhd,rgqd,raad,roed,raud,Train
233,tee,tfp,tlw,tbr,toa,tio,tui,Train
234,fax,fvx,fzx,fbx,fox,fox,fox,Train
235,agil,ngwl,pgpl,wgml,ugil,ogol,ogel,Train
236,lange,lmngg,lkngj,lfngw,longe,lenge,linga,Train
237,esse,hssb,wssm,sssc,assa,issi,issa,Train
238,sohns,slhns,sphns,schns,suhns,suhns,suhns,Train
239,uns,bns,mns,hns,ens,ens,ens,Train
240,kopf,klpf,kkpf,kppf,kupf,kupf,kupf,Train
241,sofia,szfdj,skfgc,spfbq,sufea,safue,sefaa,Train
242,funkt,ftnkt,fynkt,fcnkt,fenkt,finkt,finkt,Train
243,worts,wwrts,wkrts,wprts,wurts,wurts,wurts,Test
244,gnom,gnym,gnfm,gnhm,gnim,gnem,gnim,Train
245,unten,hntnn,nntfn,fntsn,intan,antin,intan,Test
246,webte,wzbtg,wmbtp,wcbtz,webto,wibtu,wabta,Train
247,job,jsb,jyb,jnb,jib,jeb,jeb,Test
248,gifts,gqfts,gkfts,gjfts,gofts,gefts,gafts,Test
249,bluts,blnts,bltts,blbts,blots,blits,blits,Train
250,ahlen,jhlzn,zhlbn,lhlmn,ohlin,ahlan,ihlen,Train
251,fache,fwchr,fvchv,fschg,focho,fecha,fachu,Train
252,umzog,smzng,pmzvg,hmzhg,omzag,amzeg,umzag,Test
253,pulte,pvltg,pdltv,pvltt,palti,pelte,peltu,Train
254,ferse,fkrsc,fwrsk,ffrsk,farsu,farsa,firse,Train
255,moose,mcjsl,mtgss,mshsf,miusu,moese,miusi,Train
256,hebt,hqbt,hnbt,hjbt,hobt,hobt,hobt,Train
257,nenne,nvnnw,ncnng,nlnnl,nenno,ninne,nunne,Train
258,fjord,fjlrd,fjprd,fjzrd,fjerd,fjerd,fjurd,Train
259,mais,mhhs,mgds,myds,meus,mees,mois,Test
260,oelst,frlst,pslst,zmlst,aulst,eelst,iilst,Train
261,flur,flvr,flqr,flvr,flir,flor,flar,Train
262,dabei,dhbnv,dpbgn,dvbvn,dubii,dubiu,deboa,Train
263,dumm,dzmm,dzmm,dxmm,domm,demm,domm,Train
264,anruf,qnrqf,snrzf,xnrbf,inruf,anrof,anrof,Train
265,harz,hzrz,hkrz,hmrz,hurz,hurz,horz,Train
266,kaut,kxrt,kjbt,kwqt,kiot,kiat,kaot,Train
267,isst,ksst,ksst,hsst,osst,osst,osst,Train
268,mazda,mczdn,mqzdz,mbzdn,mozde,mozda,mizde,Train
269,affe,wffq,rffg,wffq,effu,uffi,uffi,Test
270,nimmt,nbmmt,nwmmt,nfmmt,nommt,nemmt,nemmt,Test
271,werft,wxrft,wnrft,wzrft,warft,worft,worft,Train
272,mill,mxll,myll,mpll,mall,mall,mall,Train
273,roll,rnll,rvll,rcll,rill,rell,rill,Train
274,komma,kgmmz,kdmmd,kkmmy,kammu,kimmo,kommo,Train
275,ragt,rpgt,rdgt,rvgt,rogt,rogt,rigt,Train
276,platt,plmtt,plgtt,pldtt,plutt,plutt,plitt,Train
277,fiese,ftmsh,flxsj,fpnsb,fuusa,fiisu,fuisu,Train
278,stasi,stssx,stqsr,strsn,stosa,stese,stusu,Train
279,raube,rllbk,rrdbh,rglbt,reebu,ruabo,reaba,Train
280,sache,sqchx,spchr,slchl,suchi,secho,sechi,Test
281,depot,dmpst,dyplt,dxpbt,dupit,dipet,dipit,Train
282,rehe,rchx,rnht,rchy,reha,rihi,ruhi,Train
283,atmet,qtmvt,htmxt,stmjt,atmut,etmot,otmot,Test
284,demos,dymgs,dwmgs,dkmss,dames,domes,dumis,Test
285,wagte,wsgtn,wrgts,wvgtm,wegti,wegti,wigte,Train
286,lider,ljdcr,lbdfr,lydhr,ludur,ledar,ledur,Train
287,paar,pmgr,phkr,pdpr,poor,piir,poor,Train
288,zorro,zlrrh,zkrrp,zkrrm,zurre,zarra,zirra,Train
289,pfalz,pfxlz,pfvlz,pfmlz,pfolz,pfulz,pfilz,Train
290,batst,bhtst,bxtst,bhtst,butst,botst,butst,Train
291,segen,srgwn,spgxn,shgbn,sogun,sogan,sagan,Train
292,wotan,wdtbn,wjtjn,wbtdn,wetun,watan,wutun,Train
293,lasso,lyssd,lyssh,lnssf,lossi,lossu,lissa,Train
294,puls,pdls,pbls,pdls,pals,pols,pels,Train
295,grips,grkps,grlps,grzps,graps,grops,grups,Train
296,burg,bxrg,bvrg,bwrg,borg,borg,borg,Train
297,prinz,prnnz,prcnz,prlnz,prunz,prunz,pronz,Train
298,zeile,zdblp,zfmlb,znslw,zuuli,zuula,zeoli,Test
299,emsig,hmssg,rmswg,smshg,imsig,amsig,umseg,Train
300,noten,nwtcn,nqtrn,nrtbn,nutin,nutun,notin,Train
301,tanne,txnnc,tnnnm,tnnnk,tunno,tenna,tanni,Train
302,autor,dwtyr,zftrr,mttzr,oitir,aitor,uetar,Train
303,bann,bgnn,bhnn,bgnn,binn,benn,benn,Train
304,boote,bsvtj,bnptv,bzrtz,biuto,baate,bauto,Train
305,jemen,jrmmn,jxmwn,jpmsn,jamon,jomin,jamin,Train
306,grog,grwg,grjg,grkg,grag,grug,grug,Train
307,egal,jgwl,xgwl,bggl,igil,egil,ogul,Train
308,werks,wqrks,wcrks,wmrks,wirks,works,works,Train
309,winke,wbnky,whnkr,wxnkn,wenko,wenki,wunke,Train
310,kram,krsm,krzm,krrm,krum,krum,krum,Train
311,erden,lrdpn,nrdln,nrddn,urden,urdin,irdin,Train
312,zarte,zmrty,zmrts,zsrtl,zurta,zirti,zurti,Test
313,feil,fqnl,fzwl,fdll,fuul,fiil,feal,Train
314,trias,trnps,trjss,trmvs,truis,treus,trais,Train
315,oed,wtd,rbd,cdd,eod,uid,uod,Train
316,nomen,nlmyn,ngmvn,nkmvn,nimun,numon,namun,Test
317,elfen,ylfvn,klfwn,dlfcn,ulfin,olfun,olfun,Test
318,steif,stzyf,stzmf,stszf,stiuf,stauf,stoef,Train
319,ligen,lbgtn,lxgbn,lggkn,ligin,ligon,legun,Train
320,perlt,pdrlt,pnrlt,pyrlt,parlt,parlt,parlt,Train
321,edens,hdcns,ldmns,jdzns,udans,edons,idans,Test
322,wusel,wqsnl,wzshl,wjspl,wosol,wusul,wisil,Train
323,jucke,jxcky,jyckw,jmckk,jocku,jicku,jacku,Train
324,artig,jrtwg,qrtyg,crtlg,ortug,ortog,irtag,Train
325,kiel,kvsl,klrl,kjzl,kuol,keul,kail,Train
326,denen,dgnvn,dmnxn,dznkn,denon,donin,dinin,Test
327,baten,bctvn,bptxn,bmtdn,biton,baton,bitin,Train
328,kasse,kgssq,kpssf,kwssp,kisse,kissa,kussi,Train
329,rotte,rhttf,rjttq,rbttd,ritti,rutto,retto,Train
330,los,lks,lps,lgs,lis,lus,lis,Train
331,fotze,fmtzj,fktzp,fbtzh,futza,fetze,fatzo,Test
332,dhabi,dhfbk,dhkbx,dhxbp,dhiba,dhobo,dheba,Test
333,lernt,lfrnt,lqrnt,lxrnt,lornt,larnt,lurnt,Train
334,boes,bgds,bccs,bgks,bius,beis,bees,Train
335,zehe,zxhl,zjhx,zmhg,zuhi,zoho,zaho,Train
336,regen,rvgmn,rjgxn,rcgdn,ragin,rugen,rugon,Train
337,kaese,kgssl,kllsz,ktvsd,kaise,kaiso,kiose,Train
338,stand,stvnd,stynd,stnnd,stend,stond,stund,Train
339,knox,knvx,knrx,knvx,knex,knax,knix,Train
340,mieze,mjtzz,mwjzb,mbmzk,mouzo,muoza,muozi,Train
341,eises,blsns,hhsvs,mgsvs,uasis,uasos,ausos,Train
342,lack,lbck,lnck,lcck,lick,luck,lock,Train
343,anbot,qnbkt,xnbrt,hnbzt,onbit,inbot,enbot,Train
344,gerne,gprny,gyrnr,gfrnj,girne,garno,girni,Train
345,atme,ntmc,ptmk,ptms,otma,itmo,atma,Train
346,homer,hrmrr,hdmqr,hzmmr,homar,hamur,humar,Train
347,boris,bfrws,bnrws,bkrfs,baros,bires,biros,Test
348,spion,spywn,spkcn,spgfn,spoun,spean,spain,Train
349,dulde,dmldx,dxldr,ddldh,delde,dilde,duldi,Test
350,moses,mssms,mjsjs,mkszs,misus,misis,mosis,Train
351,olaf,nlmf,zlff,slgf,olef,elof,alof,Train
352,neuem,ntxwm,nqycm,nfjtm,naiom,nauam,naeam,Train
353,lochs,ljchs,lxchs,lqchs,lechs,lichs,lichs,Train
354,biers,bgtrs,bymrs,bwxrs,beurs,baors,bears,Train
355,linke,lgnkb,lbnkn,ldnkg,lonko,lanke,lenko,Train
356,abkam,jbktm,vbkgm,zbkgm,ubkim,ubkom,ibkim,Train
357,stoss,sttss,stgss,stcss,stess,stass,stess,Train
358,hafer,hwfxr,hyfjr,hpffr,hufer,hifor,hifor,Test
359,herum,hqrqm,hfrjm,hsrzm,herim,huram,harum,Train
360,fuenf,flynf,fgpnf,ftxnf,feanf,feinf,faanf,Train
361,orbit,srbtt,crbft,mrbct,urbut,orbat,arbot,Train
362,malen,mjlgn,mzlxn,mmlzn,mulen,molen,malan,Train
363,usw,fsw,ssw,ysw,asw,osw,isw,Train
364,alben,nlbdn,zlbcn,ylbyn,elbun,ilban,alban,Train
365,waden,whdcn,wpdcn,wqdcn,wadun,wadun,widen,Test
366,eule,mclj,sklq,snlb,aala,aeli,uuli,Train
367,patzt,pqtzt,pztzt,pdtzt,pitzt,pitzt,potzt,Train
368,pulli,pfllc,pcllq,pklll,pello,pelli,palla,Train
369,limes,lpmbs,lgmts,lpmts,lamos,lomos,lamus,Train
370,engen,jngfn,vngxn,gngbn,ungin,angun,engin,Test
371,rings,rzngs,rmngs,rrngs,rungs,rengs,rengs,Train
372,ums,vms,nms,qms,ams,ams,oms,Test
373,kir,kwr,kpr,kpr,ker,ker,kor,Train
374,pike,phkt,pjkb,pdkw,peku,peke,peku,Train
375,stall,stpll,stvll,stlll,stull,stull,stoll,Test
376,mahnt,mrhnt,mdhnt,myhnt,mihnt,muhnt,mehnt,Train
377,chice,chpcq,chkcn,chjcd,checu,chece,checi,Train
378,lasst,lpsst,ljsst,lbsst,lesst,lusst,lisst,Train
379,hasen,hvsnn,hlsvn,hrssn,hesan,hosin,hason,Train
380,mini,mvny,mznh,mwnk,mina,manu,muna,Test
381,boas,bpms,blks,byxs,biis,boos,bues,Test
382,mail,mdpl,mhbl,mtrl,mual,miul,muul,Train
383,held,hpld,hcld,hwld,huld,hald,hild,Train
384,dorn,dwrn,dsrn,dbrn,durn,durn,darn,Train
385,athen,pthsn,qthpn,lthzn,ithin,othen,athon,Train
386,hindu,hkndd,hkndn,hxndq,hondo,hundo,hondo,Train
387,cruz,crnz,crnz,crmz,criz,crez,crez,Test
388,arien,frjtn,yrbvn,jrrdn,ariun,eruen,uroon,Train
389,adam,hddm,sdfm,mdhm,idum,udom,edem,Train
390,flut,flkt,fllt,flst,flet,flet,flat,Train
391,zwing,zwdng,zwqng,zwbng,zweng,zweng,zwung,Train
392,dachs,dcchs,dxchs,dfchs,dochs,duchs,dochs,Train
393,indiz,kndjz,lndfz,vndsz,undez,undoz,enduz,Train
394,spiel,spmkl,spbtl,spwyl,speel,spoil,spuil,Test
395,eli,lll,llx,qlz,ulo,alo,elo,Test
396,ging,gpng,gjng,gnng,gung,gung,gung,Train
397,metz,mbtz,mztz,mstz,matz,mutz,motz,Test
398,trip,trjp,trsp,trtp,trop,trep,trop,Train
399,dolch,dtlch,ddlch,dflch,dilch,delch,dalch,Test
400,kobra,kwbrx,kfbrp,kmbrf,kebru,kabru,kebru,Train
401,eiden,gjdhn,whddn,rfdxn,uidin,aidan,uidon,Train
402,rupft,rmpft,rspft,rnpft,ripft,ripft,ropft,Train
403,engte,qngtq,sngtm,gngth,engta,ingto,ingte,Train
404,heilt,hkglt,hcllt,hbylt,hault,hiolt,hoilt,Test
405,stoer,stnjr,stqzr,stksr,stoir,stiir,stuor,Train
406,nehme,nwhmw,nbhmv,nxhmz,nahma,nihmi,nahmo,Train
407,leise,lrhsl,lvbsz,lqnsh,lausu,luuse,liasu,Test
