;String;cond;t_t;
197;lws;CS;Test;8
198;Gbg;CS;Train;42
199;Rvt;CS;Train;23
200;Mng;CS;Train;32
201;Fns;CS;Train;91
202;Mwg;CS;Train;47
203;Lks;CS;Test;4
204;Hkt;CS;Test;18
205;Bgd;CS;Test;11
206;wrm;CS;Test;8
207;Tll;CS;Train;81
208;Smt;CS;Train;30
209;Rkd;CS;Train;53
210;Dbs;CS;Train;29
211;Bfy;CS;Train;24
212;Rwg;CS;Test;0
213;Tbt;CS;Test;5
214;Gdb;CS;Train;86
215;slf;CS;Train;91
216;Mkg;CS;Test;17
217;hss;CS;Train;97
218;Sfr;CS;Train;82
219;Njt;CS;Train;75
220;bmr;CS;Test;12
221;Bwx;CS;Train;34
222;Zrq;CS;Train;57
223;dsr;CS;Test;0
224;Bft;CS;Train;56
225;Kgm;CS;Train;32
226;Trd;CS;Train;79
227;fjt;CS;Test;12
228;Hvf;CS;Test;20
229;Qgs;CS;Train;37
230;jss;CS;Test;14
231;Yql;CS;Test;2
232;Jlt;CS;Train;73
233;Txt;CS;Train;31
234;Ntj;CS;Train;88
235;Znh;CS;Test;9
236;Svh;CS;Train;42
237;Rxm;CS;Train;69
238;Tjp;CS;Train;70
239;Pfp;CS;Test;14
240;bnt;CS;Test;0
241;Dms;CS;Train;77
242;Mcn;CS;Train;24
243;Lxz;CS;Train;63
244;Wpl;CS;Train;89
245;Hjn;CS;Train;97
246;nch;CS;Test;8
247;Fgh;CS;Train;61
248;Glm;CS;Train;98
249;Hss;CS;Test;4
250;Hmt;CS;Test;13
251;Rfc;CS;Test;4
252;vqn;CS;Train;33
253;Mcc;CS;Train;62
254;Kbt;CS;Train;78
255;Lgb;CS;Test;15
256;Kst;CS;Test;19
257;rzg;CS;Train;83
258;Pyn;CS;Train;31
259;hxb;CS;Train;55
260;Nzh;CS;Train;38
261;Chv;CS;Train;44
262;Blt;CS;Train;39
263;Lpp;CS;Train;28
264;Fvx;CS;Test;3
265;Bsg;CS;Test;19
266;hsw;CS;Train;57
267;lsd;CS;Test;3
268;Dhr;CS;Train;51
269;Dpm;CS;Train;95
270;Pfb;CS;Train;39
271;Vlf;CS;Train;34
272;Lrx;CS;Train;29
273;Prr;CS;Train;59
274;Hst;CS;Train;93
275;gtn;CS;Test;2
276;Rgn;CS;Train;98
277;Skn;CS;Train;93
278;Rvh;CS;Train;42
279;Hvx;CS;Train;80
280;lgg;CS;Train;66
281;rzf;CS;Test;17
282;Bfn;CS;Test;10
283;Byd;CS;Train;35
284;Tjr;CS;Test;15
285;Sgk;CS;Train;51
286;Krr;CS;Train;74
287;ryh;CS;Train;26
288;Lgt;CS;Train;87
289;Gfn;CS;Train;91
290;Mfb;CS;Train;81
291;mpn;CS;Train;22
292;pvr;CS;Test;12
293;Kxt;CS;Train;69
294;Qwc;CS;Train;26
295;Pnr;CS;Test;4
296;Jbt;CS;Train;73
297;Rln;CS;Train;50
298;Gsb;CS;Train;35
299;Kht;CS;Test;0
300;fcx;CS;Train;41
301;Dpc;CS;Train;93
302;mtc;CS;Test;8
303;Sdg;CS;Test;18
304;Wph;CS;Train;86
305;Bst;CS;Test;9
306;wxg;CS;Train;42
307;rsr;CS;Train;29
308;Wns;CS;Train;68
309;Vpr;CS;Train;29
310;Mlx;CS;Train;51
311;Pyk;CS;Train;82
312;Kqj;CS;Train;65
313;Llf;CS;Test;5
314;vsv;CS;Train;48
315;Fdh;CS;Test;16
316;Nzl;CS;Train;87
317;drg;CS;Test;2
318;Zbr;CS;Test;10
319;Rmn;CS;Train;30
320;Vbp;CS;Test;15
321;Wgb;CS;Test;14
322;Dfz;CS;Train;79
323;Vxs;CS;Train;80
324;Gnl;CS;Train;70
325;Lsk;CS;Train;22
326;Kzp;CS;Train;54
327;Jgd;CS;Train;48
328;Djr;CS;Train;53
329;Hdc;CS;Test;4
330;Swj;CS;Train;76
331;Sxg;CS;Train;93
332;Lsg;CS;Test;16
333;Lbg;CS;Train;78
334;Bng;CS;Test;15
335;Pvl;CS;Train;69
336;Mdr;CS;Test;4
337;Dbs;CS;Train;31
338;Zrg;CS;Train;87
339;Xms;CS;Train;96
340;Pck;CS;Test;15
341;Kqp;CS;Train;74
342;Jpx;CS;Train;71
343;Gtl;CS;Train;41
344;Krz;CS;Train;57
345;Mtg;CS;Test;9
346;Srx;CS;Train;53
347;Bwb;CS;Test;9
348;Klm;CS;Train;98
349;Bft;CS;Train;64
350;Ctg;CS;Train;70
351;ndm;CS;Test;18
352;scg;CS;Train;43
353;Rqh;CS;Test;13
354;Phv;CS;Train;22
355;Ftx;CS;Train;65
356;bgg;CS;Train;64
357;pgz;CS;Train;74
358;kzs;CS;Train;82
359;Hjb;CS;Train;43
360;ccm;CS;Train;36
361;Mls;CS;Train;66
362;Lxd;CS;Train;24
363;Bhs;CS;Train;25
364;Zgr;CS;Train;41
365;Rrg;CS;Train;84
366;Kbk;CS;Train;48
367;Plr;CS;Train;66
368;lfb;CS;Train;80
369;brr;CS;Test;10
370;Ftt;CS;Train;71
371;Dhr;CS;Test;17
372;Ppn;CS;Train;73
373;Hhm;CS;Train;76
374;Hsf;CS;Train;36
375;Blm;CS;Train;78
376;Tdl;CS;Train;85
377;Std;CS;Train;30
378;Pkt;CS;Train;54
379;Hrb;CS;Train;54
380;hwk;CS;Train;66
381;Dfw;CS;Train;40
382;Xlp;CS;Test;15
383;Xlk;CS;Test;17
384;Phs;CS;Train;52
385;Mrl;CS;Test;12
386;Hyd;CS;Test;5
387;Fdg;CS;Train;44
388;Blt;CS;Train;74
389;Vnm;CS;Train;56
390;Spy;CS;Train;48
391;rvd;CS;Test;19
392;Nng;CS;Train;83
393;hfc;CS;Train;30
394;chm;CS;Test;6
395;Bbh;CS;Train;81
396;spl;CS;Train;98
397;sbk;CS;Train;22
398;ghz;CS;Test;0
399;Ngt;CS;Train;92
400;Lzg;CS;Train;74
401;Hrr;CS;Train;38
402;Bxg;CS;Train;48
403;Blc;CS;Train;40
404;Bds;CS;Test;13
405;bps;CS;Train;100
406;Yss;CS;Train;79
407;Wxg;CS;Train;87
408;Wsm;CS;Train;67
409;wsb;CS;Train;32
410;Rln;CS;Test;1
411;Rfl;CS;Train;96
412;Nvv;CS;Train;33
413;mjx;CS;Train;51
414;Lgd;CS;Train;66
415;Yly;CS;Test;2
416;Hsc;CS;Train;88
417;Jtc;CS;Train;77
418;Gms;CS;Test;17
419;Bhv;CS;Train;57
420;Zss;CS;Train;92
421;zqs;CS;Train;61
422;Ntz;CS;Train;25
423;phn;CS;Train;63
424;Skt;CS;Train;46
425;lsx;CS;Train;94
426;Kwr;CS;Test;19
427;Jxl;CS;Train;72
428;ysx;CS;Train;71
429;Gnf;CS;Train;98
430;Fhz;CS;Train;33
431;Vsc;CS;Train;62
432;dcv;CS;Test;19
433;bhk;CS;Train;44
434;Gbk;CS;Train;31
435;mbch;CS;Train;43
436;dtss;CS;Train;90
437;gjns;CS;Test;0
438;sdnd;CS;Train;68
439;dsch;CS;Train;77
440;fgxr;CS;Train;49
441;hfsr;CS;Train;45
442;hsbj;CS;Train;83
443;nkch;CS;Test;10
444;snch;CS;Train;93
445;Nygn;CS;Train;57
446;jsch;CS;Train;95
447;hgst;CS;Train;24
448;ssnn;CS;Train;59
449;khnn;CS;Train;26
450;pbjr;CS;Train;90
451;Bbxr;CS;Test;0
452;wpnn;CS;Train;90
453;whrd;CS;Train;93
454;bpst;CS;Train;38
455;dnch;CS;Train;27
456;Wqnn;CS;Train;61
457;nnch;CS;Test;18
458;ddsr;CS;Test;14
459;dtnn;CS;Train;86
460;wdll;CS;Train;21
461;mhdn;CS;Test;10
462;mzhr;CS;Train;78
463;mrss;CS;Train;26
464;Mnnn;CS;Train;53
465;dxnn;CS;Train;73
466;sqhr;CS;Test;0
467;gmht;CS;Train;81
468;yllc;CS;Train;97
469;xxch;CS;Test;9
470;Nlsc;CS;Train;66
471;Zqmt;CS;Train;45
472;gybt;CS;Test;20
473;scll;CS;Train;76
474;Hgwr;CS;Test;11
475;vnpl;CS;Train;57
476;Dynn;CS;Train;98
477;kxln;CS;Test;4
478;Ksmm;CS;Train;94
479;Frbb;CS;Train;84
480;Gxtt;CS;Train;77
481;dwjn;CS;Train;78
482;gznz;CS;Train;53
483;Mzzn;CS;Train;67
484;llss;CS;Train;69
485;Hfst;CS;Test;9
486;wbml;CS;Train;78
487;Hkfy;CS;Train;23
488;Ldnq;CS;Train;93
489;Gtld;CS;Train;33
490;nfmn;CS;Train;25
491;zwxp;CS;Test;3
492;wnhl;CS;Train;26
493;rhrx;CS;Test;7
494;rhcs;CS;Train;70
495;pqxr;CS;Train;29
496;klrr;CS;Train;80
497;Lrss;CS;Test;3
498;sxgt;CS;Train;84
499;Wklt;CS;Test;17
500;Lbmd;CS;Train;34
501;whnp;CS;Train;64
502;ddrt;CS;Train;70
503;Hrrr;CS;Train;56
504;Bsst;CS;Train;57
505;Hgrs;CS;Train;47
506;rksy;CS;Train;84
507;rxxn;CS;Train;63
508;Wfxl;CS;Train;33
509;Fzlr;CS;Test;3
510;Hvrr;CS;Test;7
511;Jpck;CS;Train;57
512;Ghrn;CS;Train;73
513;Mrch;CS;Train;89
514;kzmm;CS;Train;51
515;Shhn;CS;Train;64
516;sylt;CS;Train;94
517;drmf;CS;Train;83
518;hwbt;CS;Train;64
519;Tddr;CS;Test;5
520;Kcpf;CS;Test;9
521;Bbby;CS;Test;11
522;Dbch;CS;Train;87
523;Synd;CS;Train;36
524;crst;CS;Train;63
525;smcd;CS;Train;48
526;Kwnn;CS;Train;69
527;Kznd;CS;Train;70
528;bbhm;CS;Train;26
529;Kndc;CS;Train;24
530;wchr;CS;Train;81
531;Gllz;CS;Test;19
532;Dxch;CS;Train;85
533;dszp;CS;Train;94
534;Dnnk;CS;Train;99
535;gytc;CS;Train;40
536;Dqqn;CS;Train;63
537;Vhtb;CS;Test;1
538;scgj;CS;Train;32
539;glhy;CS;Train;45
540;syhd;CS;Train;94
541;gprn;CS;Train;49
542;Hmlt;CS;Train;98
543;Fjll;CS;Train;52
544;Fplm;CS;Train;67
545;wrbt;CS;Test;4
546;mwch;CS;Test;12
547;drbn;CS;Train;98
548;Nvmw;CS;Train;87
549;Tgwr;CS;Train;84
550;Nwch;CS;Train;62
551;drwn;CS;Train;57
552;Ssfh;CS;Test;10
553;Ktcn;CS;Train;75
554;Jnhn;CS;Test;12
555;Ksrl;CS;Train;46
556;tcll;CS;Train;59
557;bxld;CS;Train;35
558;Sqhr;CS;Test;17
559;Hfnd;CS;Train;30
560;drrf;CS;Test;3
561;Hsch;CS;Test;10
562;Ndwr;CS;Test;6
563;lvng;CS;Train;53
564;Lknd;CS;Train;30
565;lxss;CS;Train;28
566;kgdl;CS;Train;44
567;Gptk;CS;Train;63
568;ntwg;CS;Train;49
569;Gynz;CS;Train;81
570;Rjhm;CS;Train;86
571;qcht;CS;Train;87
572;gxng;CS;Train;55
573;Jyhr;CS;Train;36
574;fpst;CS;Test;9
575;nzrm;CS;Train;97
576;kbrz;CS;Train;28
577;Nqch;CS;Train;57
578;bbbn;CS;Test;6
579;Mcmd;CS;Test;20
580;gbzn;CS;Train;60
581;hgch;CS;Train;93
582;Tlgk;CS;Train;30
583;Tvvl;CS;Train;46
584;Wknn;CS;Test;18
585;Wbrt;CS;Train;48
586;cpns;CS;Train;94
587;nptt;CS;Train;51
588;Gsht;CS;Train;59
589;Dsng;CS;Train;43
590;Nqmm;CS;Train;88
591;Hjrz;CS;Train;54
592;Shll;CS;Train;90
593;tnst;CS;Test;1
594;Mjss;CS;Train;77
595;Ptch;CS;Test;6
596;Bljt;CS;Train;86
597;Bstt;CS;Train;51
598;lprx;CS;Train;40
599;Plkn;CS;Train;40
600;Klrr;CS;Train;88
601;hlqr;CS;Train;80
602;frxw;CS;Train;60
603;fqst;CS;Train;85
604;Dmnn;CS;Train;54
605;Zwqx;CS;Train;23
606;Pdpq;CS;Train;100
607;vqpr;CS;Train;46
608;Dzss;CS;Test;1
609;Dhrf;CS;Test;9
610;wlnn;CS;Train;66
611;zwhr;CS;Train;81
612;gxbp;CS;Train;45
613;Hgnd;CS;Train;73
614;pltx;CS;Train;59
615;Ldft;CS;Train;27
616;Nrdp;CS;Train;70
617;Svnt;CS;Train;69
618;kzvm;CS;Test;20
619;vrll;CS;Train;67
620;Wzhl;CS;Train;49
621;Bsss;CS;Train;98
622;Bhch;CS;Train;32
623;Sdxn;CS;Train;100
624;ftnd;CS;Train;54
625;Pkss;CS;Train;35
626;frsh;CS;Train;58
627;Vmdl;CS;Train;34
628;Lrzt;CS;Test;16
629;jxdq;CS;Test;10
630;Yhnt;CS;Train;46
631;Rgst;CS;Train;63
632;Tzgm;CS;Train;76
633;Mgst;CS;Test;11
634;ldbt;CS;Train;85
635;dwls;CS;Train;58
636;Zyhg;CS;Train;59
637;Mtnd;CS;Test;19
638;Spht;CS;Test;14
639;Hjbt;CS;Test;11
640;hbrt;CS;Train;53
641;Bsld;CS;Train;23
642;Dvys;CS;Train;94
643;Ktrg;CS;Test;10
644;zvhn;CS;Train;82
645;Sbnn;CS;Train;69
646;Lyns;CS;Train;22
647;hclt;CS;Train;84
648;Bzll;CS;Train;93
649;rbdx;CS;Test;16
650;Rsns;CS;Train;68
651;Hsbm;CS;Train;63
652;Grbt;CS;Train;30
653;Yprk;CS;Test;17
654;Zwgq;CS;Test;18
655;chrl;CS;Test;16
656;Dfrt;CS;Train;79
657;Mhhr;CS;Train;56
658;Zdvl;CS;Test;17
659;Rlhm;CS;Train;100
660;dymm;CS;Train;100
661;lhgr;CS;Train;67
662;vtfs;CS;Train;24
663;Wyrd;CS;Train;45
664;Nkkr;CS;Train;51
665;wcrt;CS;Test;9
666;Wttz;CS;Test;15
667;Bkqr;CS;Train;35
668;Drkz;CS;Test;3
669;Mgnl;CS;Train;73
670;Szld;CS;Test;18
671;Lygg;CS;Train;43
672;rjfk;CS;Test;17
673;kwlt;CS;Train;86
674;tnkr;CS;Train;86
675;hklz;CS;Train;48
676;snnh;CS;Train;68
677;Mqch;CS;Train;89
678;nxmm;CS;Train;91
679;Nwsh;CS;Train;51
680;Dlmm;CS;Train;47
681;Bgrt;CS;Train;41
682;Flyx;CS;Train;61
683;fnrt;CS;Train;50
684;nbhm;CS;Train;81
685;Wqll;CS;Test;4
686;Chkf;CS;Test;8
687;Plql;CS;Test;10
688;Byzt;CS;Train;22
689;Thrv;CS;Test;3
690;Dfnk;CS;Train;90
691;Mhrd;CS;Train;89
692;Thll;CS;Train;29
693;Rcdf;CS;Train;49
694;Mndl;CS;Train;99
695;Mkss;CS;Test;16
696;Bdnd;CS;Train;49
697;Bzrd;CS;Test;0
698;Srst;CS;Test;3
699;wcht;CS;Train;79
700;Lchf;CS;Train;89
701;Shrw;CS;Train;27
702;tbkf;CS;Train;97
703;Fxtj;CS;Train;26
704;Fhss;CS;Train;97
705;gwkg;CS;Test;17
706;Hmls;CS;Train;74
707;Bknk;CS;Train;68
708;Lbjd;CS;Train;54
709;Lxst;CS;Test;7
710;jbng;CS;Train;71
711;Bgll;CS;Train;21
712;wlch;CS;Test;12
713;nqhh;CS;Train;97
714;lpjt;CS;Test;10
715;Lpsm;CS;Train;45
716;Wbzg;CS;Test;0
717;Zmjh;CS;Train;87
718;Pqrk;CS;Train;66
719;Vzlk;CS;Train;82
720;lrbx;CS;Train;88
721;Spnr;CS;Test;17
722;Hhlf;CS;Train;57
723;Gtld;CS;Train;30
724;lsbb;CS;Train;72
725;Ltch;CS;Train;61
726;Zfrg;CS;Train;38
727;Hhpt;CS;Train;60
728;Wsnd;CS;Train;81
729;Bwbn;CS;Test;6
730;Vfvr;CS;Train;93
731;sqht;CS;Train;27
732;Dgrf;CS;Train;51
733;Glps;CS;Test;17
734;Hrld;CS;Train;55
735;Txxl;CS;Test;13
736;rmft;CS;Train;68
737;Stqh;CS;Test;4
738;Fkhr;CS;Train;45
739;Lgdy;CS;Train;91
740;Flwg;CS;Train;77
741;Rzng;CS;Train;33
742;Wkld;CS;Train;95
743;Dlch;CS;Train;54
744;Sckq;CS;Train;56
745;Wyqn;CS;Train;76
746;Jcht;CS;Train;77
747;Wgnd;CS;Train;96
748;Nndy;CS;Test;17
749;Tmst;CS;Test;19
750;Hrmp;CS;Train;23
751;Mcwr;CS;Train;86
752;lksf;CS;Train;64
753;Rrsj;CS;Train;49
754;Dtsl;CS;Train;48
755;Hnfr;CS;Train;66
756;Bnqm;CS;Train;73
757;Llrd;CS;Test;15
758;Vxtr;CS;Train;51
759;Svgt;CS;Test;12
760;Gtck;CS;Test;17
761;Pkjr;CS;Test;15
762;Mhrk;CS;Train;61
763;trgf;CS;Train;26
764;Gtng;CS;Train;93
765;fxll;CS;Train;23
766;Hxsy;CS;Test;11
767;Mnry;CS;Train;52
768;Btdm;CS;Train;33
769;hvlb;CS;Train;43
770;rjdf;CS;Train;56
771;Ynnt;CS;Train;42
772;ndxn;CS;Train;75
773;Mjtt;CS;Train;50
774;Clrb;CS;Train;29
775;fcxr;CS;Test;3
776;Knsn;CS;Train;57
777;hspm;CS;Train;59
778;ldbr;CS;Train;77
779;Cfty;CS;Train;67
780;Sgzg;CS;Train;27
781;Frfg;CS;Train;79
782;Krrs;CS;Train;48
783;wsst;CS;Train;43
784;zyfg;CS;Test;12
785;flrn;CS;Train;32
786;Fcst;CS;Train;56
787;hxlf;CS;Test;4
788;Htlt;CS;Train;59
789;Cwdn;CS;Train;57
790;Bkld;CS;Train;75
791;klpg;CS;Train;44
792;Flrm;CS;Train;50
793;Tzcr;CS;Train;81
794;Lqkq;CS;Train;88
795;Ksss;CS;Train;74
796;gqlt;CS;Train;43
797;Cstl;CS;Test;1
798;Gcrn;CS;Train;72
799;Rdzm;CS;Train;62
800;dgnk;CS;Train;57
801;krrf;CS;Test;2
802;Gqbt;CS;Test;3
803;Kmnk;CS;Train;90
804;Wqhl;CS;Train;92
805;zslh;CS;Test;13
806;Jpdh;CS;Test;0
807;wlrt;CS;Train;21
808;wxrm;CS;Train;36
809;Kktl;CS;Test;11
810;ftng;CS;Train;50
811;Frng;CS;Train;85
812;Byrg;CS;Train;74
813;Nztt;CS;Train;86
814;fthr;CS;Train;37
815;Sqng;CS;Train;79
816;Dmzv;CS;Train;22
817;stbh;CS;Test;1
818;hclt;CS;Train;42
819;Grms;CS;Train;82
820;Stpr;CS;Test;15
821;Tydk;CS;Train;68
822;Zshn;CS;Train;56
823;svtt;CS;Test;14
824;crmq;CS;Train;61
825;Hdxb;CS;Train;59
826;Drpb;CS;Train;65
827;Lzct;CS;Train;22
828;Grtb;CS;Train;55
829;Mcnd;CS;Train;94
830;Wjrt;CS;Train;23
831;Ccht;CS;Train;99
832;Hlmd;CS;Train;47
833;Gltr;CS;Train;95
834;fyhr;CS;Train;38
835;Tzxt;CS;Train;69
836;Gyst;CS;Test;5
837;Wxlf;CS;Train;96
838;Fcck;CS;Train;68
839;Hdrr;CS;Train;98
840;Sttz;CS;Test;17
841;Drhh;CS;Train;35
842;vhrn;CS;Test;16
843;fryg;CS;Train;57
844;snxy;CS;Train;57
845;Fdld;CS;Train;92
846;Grpd;CS;Test;14
847;sgss;CS;Train;59
848;Shck;CS;Test;0
849;Rfck;CS;Train;79
850;lmgt;CS;Test;8
851;Hrch;CS;Train;33
852;Fgst;CS;Train;90
853;Gzft;CS;Test;3
854;Rtwl;CS;Train;69
855;Brwt;CS;Train;30
856;Pqst;CS;Test;19
857;Wxch;CS;Train;62
858;Zghl;CS;Train;94
859;Pgch;CS;Train;70
860;Tqtn;CS;Train;34
861;Wggd;CS;Train;21
862;hssp;CS;Train;55
863;Tbnz;CS;Test;12
864;rqtj;CS;Train;63
865;Stbl;CS;Test;1
866;Cqnt;CS;Test;5
867;Crrw;CS;Train;49
868;Fpss;CS;Train;23
869;Wfst;CS;Test;4
870;trdg;CS;Train;50
871;Hclz;CS;Train;70
872;Rmmv;CS;Train;41
873;Lyck;CS;Test;5
874;Ngrf;CS;Train;47
875;rdzl;CS;Test;17
876;Hlss;CS;Train;34
877;Shnd;CS;Train;45
878;wxzg;CS;Train;62
879;wpld;CS;Train;70
880;Rmjn;CS;Train;35
881;Kxrz;CS;Test;3
882;Kflf;CS;Test;14
883;Kxrl;CS;Test;8
884;Hkrn;CS;Train;43
885;gkjl;CS;Train;92
886;fmtt;CS;Test;11
887;Stch;CS;Train;92
888;Gmnn;CS;Train;53
889;Ndnf;CS;Train;93
890;lvgj;CS;Test;14
891;lcsk;CS;Train;22
892;Kwch;CS;Train;74
893;Mpyd;CS;Train;41
894;Hlcm;CS;Train;46
895;Fwrm;CS;Train;56
896;dnnk;CS;Train;28
897;Wyrf;CS;Test;17
898;Wydn;CS;Test;13
899;Rccs;CS;Train;69
900;djck;CS;Train;82
901;brzv;CS;Test;8
902;Srgl;CS;Train;32
903;Tbjr;CS;Test;7
904;Nctz;CS;Test;10
905;Wxrk;CS;Train;99
906;Phnl;CS;Train;52
907;Kxym;CS;Train;31
908;Qmlf;CS;Train;21
909;blnc;CS;Train;100
910;Mthm;CS;Train;35
911;Zlrn;CS;Train;88
912;lzmf;CS;Train;81
913;hplf;CS;Train;88
914;txgb;CS;Test;15
915;Hchn;CS;Train;24
916;Zdnv;CS;Train;68
917;Jwgd;CS;Train;33
918;Wffp;CS;Train;47
919;Grbq;CS;Train;87
920;nqss;CS;Test;17
921;Dmck;CS;Train;42
922;Sqch;CS;Test;17
923;gwck;CS;Train;39
924;tmtq;CS;Train;92
925;Pqls;CS;Train;41
926;Pqtl;CS;Train;96
927;Nhll;CS;Train;66
928;Cwmp;CS;Test;1
929;gpbt;CS;Train;43
930;Jbbs;CS;Train;85
931;shch;CS;Train;49
932;Lmng;CS;Train;81
933;Gslf;CS;Test;0
934;Nkrr;CS;Train;93
935;Ffns;CS;Train;61
936;Chbp;CS;Train;99
937;Mflm;CS;Train;96
938;Krzm;CS;Train;64
939;Lhts;CS;Train;22
940;Rdhm;CS;Test;10
941;Txrv;CS;Train;33
942;Pdph;CS;Train;57
943;Fvgn;CS;Train;34
944;Sntz;CS;Test;4
945;Fjnk;CS;Train;99
946;Jvyn;CS;Test;6
